productName,剩余额度,成立日期,productCode,html
稳富信用精选14天持有期,10亿+,2025-04-24,CYQWFXYJX14DA,/4/8065.html
稳富信用精选14天持有期2号,6kw+,2025-07-18,CYQWFXYJX14D2A,/4/8433.html
稳富信用精选14天持有期8号,,2026-02-27,CYQWFXYJX14D8A,/3/9273.html
稳富信用精选14天持有期产品3号,10亿+,2025-08-01,CYQWFXYJX14D3A,/4/8483.html
稳富信用精选14天持有期产品4号,,2025-08-22,CYQWFXYJX14D4A,/4/8583.html
稳富信用精选30天持有期(有为青年),,2025-04-02,CYQWFXYJX30DA,/4/7953.html
稳富信用精选30天持有期2号,10亿+,2025-04-10,CYQWFXYJX30D2A,/4/7991.html
稳富信用精选30天持有期8号,,2026-02-27,CYQWFXYJX30D8A,/3/9274.html
稳富信用精选30天持有期产品3号,,2025-08-08,CYQWFXYJX30D3A,/4/8507.html
稳富信用精选30天持有期产品4号,,2025-08-22,CYQWFXYJX30D4A,/4/8584.html
稳富信用精选30天持有期产品5号,,2025-08-29,CYQWFXYJX30D5A,/4/8585.html
稳富信用精选7天持有期产品,100亿+,2025-03-13,CYQWFXYJX7DA,/4/7875.html
稳富信用精选7天持有期产品2号,,2025-07-25,CYQWFXYJX7D2A,/4/8456.html
稳富信用精选7天持有期产品3号,10亿+,2025-08-08,CYQWFXYJX7D3A,/4/8508.html
稳富信用精选7天持有期产品4号,,2025-08-15,CYQWFXYJX7D4A,/4/8543.html
稳富信用精选7天持有期产品5号,10亿+,2025-08-29,CYQWFXYJX7D5A,/4/8587.html
稳富信用精选7天持有期固收增强产品,10亿+(很烂),2024-08-28,CYQWFZQXYJX7DA,/4/7105.html
稳富信用精选日开,10亿+,2025-05-22,WFXYJXRKA,/4/8203.html
稳富信用精选日开2号,5kw+,2025-06-25,WFXYJXRK2A,/4/8334.html
稳富信用精选日开3号,100w+(暴涨过),2025-08-13,WFXYJXRK3A,/4/8513.html
稳富信用精选日开4号,10亿+,2025-08-27,WFXYJXRK4A,/4/8655.html
稳富信用精选日开5号,2亿+,2025-09-03,WFXYJXRK5A,/4/8656.html
稳富信用精选日开6号,,2026-04-03,WFXYJXRK06A,/3/9396.html
稳富全球配置30天持有期05（不在中行发行）,,2026-03-25,WFQ30D5G,/3/9324.html
稳富全球配置30天持有期6号,,2026-04-10,WFCYQ30D6A,/3/9392.html
稳富全球配置7天持有期1号,4kw+,2025-09-05,CYQWFQQPZ7D1A,/4/8582.html
稳富固收增强信用精选14天持有期,100亿+,2025-04-02,CYQWFZQXYJX14DA,/4/7956.html
稳富固收增强信用精选30天持有期,10亿+,2025-03-19,CYQWFZQXYJX30DA,/4/7887.html
稳富固收增强信用精选7天持有期,,2025-07-04,CYQWFZQXYJX1WA,/4/8387.html
稳富固收增强信用精选日开,700w+,2025-07-16,WFZQXYJXRKA,/4/8413.html
稳富固收增强全球配置14天持有期,5亿+,2025-06-13,CYQWFZQQQPZ14DA,/4/8294.html
稳富固收增强全球配置14天持有期2号,,2025-09-30,CYQWFZQQQPZ14D2A,/4/8737.html
稳富固收增强全球配置14天持有期3号,5亿+,2025-11-07,CYQWFZQQQPZ14D3A,/4/8862.html
稳富固收增强全球配置30天持有期,10亿+,2025-05-15,CYQWFZQQQPZ30DA,/4/8164.html
稳富固收增强全球配置30天持有期2号,,2025-10-17,CYQWFZQQQPZ30D2A,/4/8787.html
稳富固收增强全球配置30天持有期4号,,2026-01-29,CYQWFZQQQPZ30D4A,/4/9170.html
稳富固收增强全球配置30天持有期7号(不在中行发行),搜不到,2025-12-23,WFQQPZ30D7A,/4/9032.html
稳富固收增强全球配置7天持有期,10亿+,2025-06-13,CYQWFZQQQPZ7DA,/4/8295.html
稳富固收增强全球配置7天持有期2号,,2025-09-19,CYQWFZQQQPZ7D2A,/4/8670.html
稳富固收增强全球配置日开,,2025-07-02,WFZQQQPZRKA,/4/8365.html
稳富固收增强打新策略14天持有期,,2026-01-23,CYQWFZQDXCL14DA,/4/9155.html
稳富固收增强打新策略7天持有期,,2026-01-23,CYQWFZQDXCL7DA,/4/9156.html
稳富固收增强打新策略日开,,2026-03-20,WFZQDXCLRKA,/3/9342.html
稳富固收增强指数轮动策略14天持有期,2kw+,2026-01-30,CYQWFZQZSLD14DA,/4/9176.html
稳富固收增强指数轮动策略30天持有期,,2025-12-19,CYQWFZQZSLD30DA,/4/9036.html
稳富固收增强指数轮动策略7天持有期,,2026-03-13,CYQWFZQZSLD7DA,/3/9310.html
稳富固收增强行业轮动策略14天持有期,,2025-12-19,CYQWFZQHYLD14DA,/4/9035.html
稳富固收增强行业轮动策略30天持有期,2kw+,2025-12-05,CYQWFZQHYLD30DA,/4/8985.html
稳富固收增强行业轮动策略7天持有期,5kw+,2025-12-26,CYQWFZQHYLD7DA,/4/9066.html
稳富信用精选纯债日开理财产品,10亿+,2024-08-29,WFXYJXCZRKA,/4/7210.html
稳富纯债14天持有期,10亿+,2025-03-19,CYQWFCZ14DA,/4/7886.html
稳富纯债7天持有期,8kw+,2025-04-02,CYQWFCZ7DA,/4/7952.html
智富指数跟踪策略7天持有期(R3),,2025-01-16,CYQZFZSGZ7DA,/4/7679.html
智富指数跟踪策略日开(R3),,2024-12-19,ZFZSGZRKA,/4/7595.html
稳富固收增强指数跟踪策略14天持有期(价值优选),,2025-03-05,CYQWFZQZSGZ14DA,/4/7844.html
稳富固收增强指数跟踪策略14天持有期2号(不在中行发行),,2025-11-14,CYQWFZQZSGZ14D2A,/4/8884.html
稳富固收增强指数跟踪策略14天持有期3号(质量优选),,2025-12-12,CYQWFZQZSGZ14D3A,/4/9009.html
稳富固收增强指数跟踪策略30天持有期(行业龙头),,2024-11-21,CYQWFZQZSGZ30DA,/4/7485.html
稳富固收增强指数跟踪策略30天持有期2号(价值均衡),,2025-11-28,CYQWFZQZSGZ30D2A,/4/8952.html
稳富固收增强指数跟踪策略7天持有期(价值优选),,2025-02-26,CYQWFZQZSGZ7DA,/4/7816.html
稳富固收增强指数跟踪策略日开(均衡配置),,2025-04-30,WFZQZSGZRKA,/4/8116.html
